Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1247,1247,1300.0,5806.563753648754,24.699800000000494,30283.249099999994,0.0,22.721717603807676,22.721717603807676,1300,1300,1500,1600,30000,30000,30000,30000,30000,30000,30000
GET,/alerting,2579,2579,1300.0,5330.870178751443,24.5703000000006,30282.5889,0.0,46.99222911004009,46.99222911004009,1300,1300,1400,1500,30000,30000,30000,30000,30000,30000,30000
GET,/alerting/alerts/new,609,609,1300.0,5066.230503119868,24.638500000001784,30258.6031,0.0,11.096652783254912,11.096652783254912,1300,1300,1400,1500,30000,30000,30000,30000,30000,30000,30000
GET,/alerting/rules,1216,1216,1300.0,5294.821732894748,41.919300000003545,30256.341199999995,0.0,22.156863357041004,22.156863357041004,1300,1300,1400,1500,30000,30000,30000,30000,30000,30000,30000
GET,/d/dashboard_uid/my-dashboard,1919,1919,1300.0,4976.535471495575,26.006000000002416,30283.227699999996,0.0,34.96629998533034,34.96629998533034,1300,1300,1400,1500,30000,30000,30000,30000,30000,30000,30000
GET,/dashboards,2571,2571,1300.0,5241.019830182816,27.750199999999836,30287.326,0.0,46.846460272164826,46.846460272164826,1300,1300,1400,1600,30000,30000,30000,30000,30000,30000,30000
GET,/dashboards/find?query=my_dashboard,1246,1246,1300.0,5207.681296789722,30.95599999999621,30255.257299999997,0.0,22.703496499073268,22.703496499073268,1300,1300,1400,1500,30000,30000,30000,30000,30000,30000,30000
GET,/dashboards/new,682,682,1300.0,5307.168478299121,30.263300000001436,30281.881599999997,0.0,12.426793428866748,12.426793428866748,1300,1300,1400,1600,30000,30000,30000,30000,30000,30000,30000
GET,/datasources,1297,1297,1300.0,4642.806737008472,22.727599999996073,30285.385599999998,0.0,23.632772840528112,23.632772840528112,1300,1300,1400,1500,30000,30000,30000,30000,30000,30000,30000
GET,/login,622,622,1300.0,5324.952342604508,31.37060000000247,30278.4666,0.0,11.333527144802225,11.333527144802225,1300,1300,1400,1500,30000,30000,30000,30000,30000,30000,30000
POST,/login,492,492,1200.0,1080.6645973577229,6.77180000000277,1911.8204999999975,0.0,8.964783529329091,8.964783529329091,1200,1300,1300,1400,1500,1600,1700,1800,1900,1900,1900
,Aggregated,14480,14480,1300.0,5076.75123090471,6.77180000000277,30287.326,0.0,263.84159655423827,263.84159655423827,1300,1300,1400,1500,30000,30000,30000,30000,30000,30000,30000
